domain_name	pfam_id	source
hmm_2OG-FeII_Oxy_2	PF13532	eurbpdb_only
hmm_5_3_exonuc	PF01367	eurbpdb_only
hmm_5_3_exonuc_N	PF02739	eurbpdb_only
mRNA_cap_C	PF03919	both
mRNA_cap_enzyme	PF01331	both
mRNA_triPase	PF02940	both
mTERF	PF02536	both
nsp7	PF08716	eurbpdb_only
nsp8	PF08717	eurbpdb_only
nsp9	PF08710	eurbpdb_only
rRNA_methylase	PF06962	both
rRNA_proc-arch	PF13234	both
rRNA_processing	PF08524	both
tRNA-Thr_ED	PF08915	eurbpdb_only
tRNA-synt_1	PF00133	both
tRNA-synt_1b	PF00579	both
tRNA-synt_1c	PF00749	both
tRNA-synt_1c_C	PF03950	both
tRNA-synt_1d	PF00750	both
tRNA-synt_1e	PF01406	both
tRNA-synt_1f	PF01921	eurbpdb_only
tRNA-synt_1g	PF09334	both
tRNA-synt_2	PF00152	both
tRNA-synt_2b	PF00587	both
tRNA-synt_2c	PF01411	both
tRNA-synt_2d	PF01409	both
tRNA-synt_2e	PF02091	both
tRNA-synt_His	PF13393	both
tRNA_Me_trans	PF03054	both
tRNA_NucTran2_2	PF13735	eurbpdb_only
tRNA_NucTransf2	PF09249	eurbpdb_only
tRNA_SAD	PF07973	both
tRNA_U5-meth_tr	PF05958	both
tRNA_anti-codon	PF01336	both
tRNA_anti-like	PF12869	eurbpdb_only
tRNA_anti_2	PF13742	rbpworld_only
tRNA_bind	PF01588	both
tRNA_bind_2	PF13725	both
tRNA_deacylase	PF04414	both
tRNA_int_end_N2	PF12928	both
tRNA_int_endo	PF01974	both
tRNA_int_endo_N	PF02778	both
tRNA_lig_CPD	PF08302	both
tRNA_lig_kinase	PF08303	both
tRNA_m1G_MT	PF01746	both
tRNA_synt_1c_R1	PF04558	both
tRNA_synt_1c_R2	PF04557	both
tRNA_synt_2f	PF02092	both
z-alpha	PF02295	both
zf-C2H2	PF00096	eurbpdb_only
zf-C2H2_jaz	PF12171	both
zf-C3H1	PF10650	both
zf-C3HC	PF07967	both
zf-C6H2	PF15801	rbpworld_only
zf-CCCH	PF00642	both
zf-CCCH_2	PF14608	both
zf-CCHC	PF00098	both
zf-CCHC_2	PF13696	both
zf-FPG_IleRS	PF06827	both
zf-RNPHF	PF08080	both
zf-RRN7	PF11781	rbpworld_only
zf-RanBP	PF00641	both
zf-SCNM1	PF15803	rbpworld_only
zf-TRM13_CCCH	PF11722	both
zf-U1	PF06220	both
zf-U11-48K	PF05253	both
zf-ZPR1	PF03367	rbpworld_only
zf-met	PF12874	both
zf-nanos	PF05741	both
zf_CCCH_5	PF18384	rbpworld_only
