pfam_id	pfam_name	go_terms	source
PF08198	Thymopoietin	GO:0003677:DNA binding	GO
PF08272	Zn_Ribbon_Topo	GO:0003677:DNA binding	GO
PF08281	Sigma70_r4_2	GO:0003677:DNA binding	GO
PF08299	Bac_DnaA_C	GO:0043565:sequence-specific DNA binding	GO
PF08361	TetR_C_2	GO:0003677:DNA binding	GO
PF08401	ArdcN	GO:0003697:single-stranded DNA binding	GO
PF08463	EcoEI_R_C	GO:0003677:DNA binding	GO
PF08493	AflR	GO:0003677:DNA binding	GO
PF08536	Whirly	GO:0003697:single-stranded DNA binding	GO
PF08558	TRF	GO:0042162:telomeric DNA binding	GO
PF08661	Rep_fac-A_3	GO:0003677:DNA binding	GO
PF08755	YccV-like	GO:0003677:DNA binding	GO
PF08804	gp32	GO:0003697:single-stranded DNA binding	GO
PF09003	Arm-DNA-bind_1	GO:0003677:DNA binding	GO
PF09019	EcoRII-C	GO:0003677:DNA binding	GO
PF09026	CENP-B_dimeris	GO:0003677:DNA binding	GO
PF09048	Cro	GO:0003677:DNA binding	GO
PF09077	Phage-MuB_C	GO:0003677:DNA binding	GO
PF09110	HAND	GO:0003677:DNA binding	GO
PF09111	SLIDE	GO:0003677:DNA binding	GO
PF09115	DNApol3-delta_C	GO:0003677:DNA binding	GO
PF09182	PuR_N	GO:0003677:DNA binding	GO
PF09194	Endonuc-BsobI	GO:0003677:DNA binding	GO
PF09197	Rap1-DNA-bind	GO:0003677:DNA binding	GO
PF09208	Endonuc-MspI	GO:0003677:DNA binding	GO
PF09226	Endonuc-HincII	GO:0003677:DNA binding	GO
PF09239	Topo-VIb_trans	GO:0003677:DNA binding	GO
PF09266	VirDNA-topo-I_N	GO:0003677:DNA binding	GO
PF09270	BTD	GO:0000978:RNA polymerase II cis-regulatory region sequence-specific DNA binding	GO
PF09271	LAG1-DNAbind	GO:0003677:DNA binding	GO
PF09280	XPC-binding	GO:0003684:damaged DNA binding	GO
PF09339	HTH_IclR	GO:0003677:DNA binding	GO
PF09519	RE_HindVP	GO:0003677:DNA binding	GO
PF09520	RE_TdeIII	GO:0003677:DNA binding	GO
PF09521	RE_NgoPII	GO:0003677:DNA binding	GO
PF09553	RE_Eco47II	GO:0003677:DNA binding	GO
PF09567	RE_MamI	GO:0003677:DNA binding	GO
PF09568	RE_MjaI	GO:0003677:DNA binding	GO
PF09570	RE_SinI	GO:0003677:DNA binding	GO
PF09571	RE_XcyI	GO:0003677:DNA binding	GO
PF09572	RE_XamI	GO:0003677:DNA binding	GO
PF09573	RE_TaqI	GO:0003677:DNA binding	GO
PF09905	VF530	GO:0003677:DNA binding	GO
PF10073	GapR_DNA-bd	GO:0003677:DNA binding	GO
PF10341	TPP1	GO:0042162:telomeric DNA binding	GO
PF10391	DNA_pol_lambd_f	GO:0003677:DNA binding	GO
PF10403	BHD_1	GO:0003677:DNA binding	GO
