ipr_id	pfam_id	pfam_name	ipr_name	source
IPR001222	PF01096	Transcription factor S-II (TFIIS)	Zinc finger, TFIIS-type	universal_only
IPR001356	PF00046	Homeodomain	Homeodomain	universal_only
IPR001374	PF01424	R3H domain	R3H domain	universal_only
IPR001437	PF01272	Transcription elongation factor, GreA/GreB, C-term	Transcription elongation factor, GreA/GreB, C-terminal	universal_only
IPR001510	PF00645	Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region	Zinc finger, PARP-type	universal_only
IPR001523	PF00292	'Paired box' domain	Paired domain	universal_only
IPR001537	PF00588	SpoU rRNA Methylase family	tRNA/rRNA methyltransferase, SpoU type	universal_only
IPR001604	PF01223	DNA/RNA non-specific endonuclease	DNA/RNA non-specific endonuclease/pyrophosphatase/phosphodiesterase domain	universal_only
IPR001606	PF01388	ARID/BRIGHT DNA binding domain	ARID DNA-binding domain	universal_only
IPR001647	PF00440	Bacterial regulatory proteins, tetR family	DNA-binding HTH domain, TetR-type	green51+universal
IPR001656	PF01142	tRNA pseudouridine synthase D (TruD)	Pseudouridine synthase, TruD	universal_only
IPR001668	PF01076	Plasmid recombination enzyme	Plasmid recombination enzyme	universal_only
IPR001739	PF01429	Methyl-CpG binding domain	Methyl-CpG DNA binding	universal_only
IPR001867	PF00486	Transcriptional regulatory protein, C terminal	OmpR/PhoB-type DNA-binding domain	universal_only
IPR001878	PF00098	Zinc knuckle	Zinc finger, CCHC-type	universal_only
IPR001890	PF01985	CRS1 / YhbY (CRM) domain	RNA-binding, CRM domain	universal_only
IPR001892	PF00416	Ribosomal protein S13/S18	Small ribosomal subunit protein uS13	universal_only
IPR001900	PF00773	RNB domain	Ribonuclease II/R	universal_only
IPR002004	PF00658	MLLE domain	Polyadenylate-binding protein/Hyperplastic disc protein, C-terminal	universal_only
IPR002059	PF00313	'Cold-shock' DNA-binding domain	Cold-shock protein Csp, DNA-binding	universal_only
IPR002100	PF00319	SRF-type transcription factor (DNA-binding and dimerisation domain)	Transcription factor, MADS-box	universal_only
IPR002104	PF00589	Phage integrase family	Integrase, catalytic domain	universal_only
IPR002121	PF00570	HRDC domain	HRDC domain	universal_only
IPR002156	PF13456	Reverse transcriptase-like	Ribonuclease H domain	universal_only
IPR002156	PF00075	RNase H	Ribonuclease H domain	universal_only
IPR002186	PF00960	Neocarzinostatin family	Neocarzinostatin-like	universal_only
IPR002205	PF00521	DNA gyrase/topoisomerase IV, subunit A	DNA topoisomerase, type IIA, domain A	universal_only
IPR002288	PF00986	DNA gyrase B subunit, carboxyl terminus	DNA gyrase B subunit, C-terminal	universal_only
IPR002466	PF02137	Adenosine-deaminase (editase) domain	Adenosine deaminase/editase	universal_only
IPR002478	PF01472	PUA domain	PUA domain	universal_only
IPR002492	PF01498	Transposase	Transposase, Tc1-like	universal_only
IPR002514	PF01527	Transposase	Transposase IS3/IS911family	universal_only
IPR002525	PF01548	Transposase	Transposase IS110-like, N-terminal	universal_only
IPR002543	PF01580	FtsK/SpoIIIE family	FtsK domain	universal_only
IPR002559	PF01609	Transposase DDE domain	Transposase IS4-like domain	universal_only
IPR002562	PF01612	3'-5' exonuclease	3'-5' exonuclease domain	universal_only
